"Sector Source","Percent Contributions"
"Energy",15.3
"Residential",0.8
"Industry",6.9
"Transport",5.3
"Waste",0.8
"Agriculture",2.8
"Agr. Waste Burning",0
"Other Fires",0.1
"Windblown Dust",65
"Shipping",0.5
"Anthropogenic dust",1.4
"Commercial",0.1
"Solvents",0
"Other Combustion",0.1
"Remaining Sources",1
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
