"Sector Source","Percent Contributions"
"Energy",11.5
"Residential",1.5
"Industry",5.6
"Transport",11.1
"Waste",2.6
"Agriculture",8.1
"Agr. Waste Burning",0.2
"Other Fires",0.5
"Windblown Dust",52.9
"Shipping",0.3
"Anthropogenic dust",3.8
"Commercial",0.4
"Solvents",0
"Other Combustion",0.6
"Remaining Sources",0.9
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
