"Sector Source","Percent Contributions"
"Energy",12.4
"Residential",11.7
"Industry",9.6
"Transport",7.9
"Waste",0.8
"Agriculture",16.2
"Agr. Waste Burning",0.1
"Other Fires",1.1
"Windblown Dust",10.5
"Shipping",4.4
"Anthropogenic dust",9.2
"Commercial",1.5
"Solvents",0
"Other Combustion",2.6
"Remaining Sources",12.1
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
