"Sector Source","Percent Contributions"
"Energy",16
"Residential",14.8
"Industry",9.7
"Transport",12.8
"Waste",5.3
"Agriculture",8.5
"Agr. Waste Burning",1.7
"Other Fires",9.1
"Windblown Dust",2.7
"Shipping",1.3
"Anthropogenic dust",4.3
"Commercial",0.3
"Solvents",0
"Other Combustion",2
"Remaining Sources",11.8
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
