"Sector Source","Percent Contributions"
"Energy",10.6
"Residential",14.9
"Industry",10.8
"Transport",9.8
"Waste",1.3
"Agriculture",12
"Agr. Waste Burning",0.4
"Other Fires",18.5
"Windblown Dust",0.9
"Shipping",2.3
"Anthropogenic dust",3.1
"Commercial",0.8
"Solvents",0.1
"Other Combustion",4.3
"Remaining Sources",10.4
" "," "
"
                      McDuffie E, Martin R,Yin H, Brauer M. 2021. Global Burden of Disease from Major Air Pollution Sources (GBD MAPS): A Global Approach. Research Report 210. Boston, MA:Health Effects Institute.
                     "," "
